code,parent_code,name
01.15.10.140,01.15.10,Махорка-сырье неферментированное
01.16,01.1,Культуры волокнистые прядильные
01.16.1,01.16,Культуры волокнистые прядильные
01.16.11,01.16.1,Хлопок-сырец очищенный или не очищенный от семян
01.16.11.110,01.16.11,Хлопок-сырец тонковолокнистых сортов хлопчатника
01.16.11.120,01.16.11,Хлопок-сырец средневолокнистых сортов хлопчатника
01.16.12,01.16.1,"Волокна джута, кенафа и прочих текстильных лубяных волокон необработанные или моченые, кроме льна, конопли обыкновенной и рами"
01.16.12.110,01.16.12,Волокна джута необработанные
01.16.12.120,01.16.12,Волокна кенафа необработанные
01.16.12.130,01.16.12,Волокна канатника необработанные
01.16.12.190,01.16.12,"Волокна текстильные лубяные необработанные или моченые прочие, кроме льна, конопли обыкновенной и рами"
01.16.19,01.16.1,"Лен, конопля обыкновенная и необработанные растительные текстильные волокна, не включенные в другие группировки"
01.16.19.110,01.16.19,Волокна льна необработанные
01.16.19.111,01.16.19.110,Волокно льна-долгунца
01.16.19.112,01.16.19.110,Соломка льна-долгунца
01.16.19.119,01.16.19.110,Волокно и соломка прочего льна
01.16.19.120,01.16.19,Волокно обыкновенной конопли необработанное
01.16.19.121,01.16.19.120,Волокно среднерусской конопли
01.16.19.122,01.16.19.120,Соломка среднерусской конопли
01.16.19.123,01.16.19.120,Волокно южной конопли
01.16.19.124,01.16.19.120,Соломка южной конопли
01.16.19.129,01.16.19.120,Волокно и соломка прочей конопли
01.16.19.130,01.16.19,Волокно пеньки необработанное
01.16.19.131,01.16.19.130,Волокно обыкновенной пеньки
01.16.19.132,01.16.19.130,Соломка обыкновенной пеньки
01.16.19.140,01.16.19,Волокно сизаля необработанное
01.16.19.150,01.16.19,Волокно кокосовое необработанное
01.16.19.160,01.16.19,Волокно абаки (манильской пеньки) необработанное
01.16.19.170,01.16.19,Волокно рами (китайской крапивы) необработанное
01.16.19.190,01.16.19,Волокна растительные текстильные необработанные прочие
01.19,01.1,Культуры однолетние прочие
01.19.1,01.19,Культуры кормовые
01.19.10,01.19.1,"Культуры кормовые"
01.19.10.110,01.19.10,Культуры кормовые корнеплодные
01.19.10.120,01.19.10,Культуры бахчевые кормовые
01.19.10.130,01.19.10,Культуры кормовые зернобобовые
01.19.10.190,01.19.10,"Культуры кормовые, не включенные в другие группировки"
01.19.2,01.19,Цветы срезанные и бутоны цветочные; семена цветочных культур
01.19.21,01.19.2,Цветы срезанные и бутоны цветочные
01.19.21.110,01.19.21,Розы срезанные
01.19.21.120,01.19.21,Гвоздики срезанные
01.19.21.130,01.19.21,Орхидеи срезанные
01.19.21.140,01.19.21,Гладиолусы срезанные
01.19.21.150,01.19.21,Хризантемы срезанные
01.19.21.190,01.19.21,Цветы срезанные прочие
01.19.22,01.19.2,Семена цветочных культур
01.19.22.110,01.19.22,Семена однолетних цветочных культур
01.19.22.120,01.19.22,Семена двухлетних цветочных культур
01.19.22.130,01.19.22,Семена многолетних цветочных культур
01.19.3,01.19,"Семена свеклы, семена кормовых культур; сырье растительное прочее"
01.19.31,01.19.3,Семена кормовой свеклы (кроме семян сахарной свеклы) и семена кормовых растений
01.19.31.110,01.19.31,Семена кормовой свеклы
01.19.31.120,01.19.31,"Семена кормовых корнеплодов, кроме кормовой свеклы"
01.19.31.130,01.19.31,Семенники кормовых корнеплодов
01.19.31.140,01.19.31,Маточники кормовых корнеплодов
01.19.31.150,01.19.31,Семена однолетних трав
01.19.31.160,01.19.31,Семена многолетних трав
01.19.31.161,01.19.31.160,Семена клевера
01.19.31.162,01.19.31.160,Семена люцерны
01.19.31.163,01.19.31.160,Семена эспарцета
01.19.31.164,01.19.31.160,Семена луговых пастбищных трав
01.19.31.165,01.19.31.160,Семена злаковых трав
01.19.31.169,01.19.31.160,Семена прочих многолетних трав
01.19.31.190,01.19.31,Семена прочих кормовых культур
01.19.39,01.19.3,"Сырье растительное, не включенное в другие группировки"
01.19.39.000,01.19.39,"Сырье растительное, не включенное в другие группировки"
01.2,01,Культуры многолетние
01.21,01.2,Виноград
01.21.1,01.21,Виноград
01.21.11,01.21.1,Виноград свежий столовых сортов
01.21.11.000,01.21.11,Виноград свежий столовых сортов
01.21.12,01.21.1,Виноград свежий прочих сортов
01.21.12.110,01.21.12,Виноград свежий кишмишных сортов
01.21.12.120,01.21.12,"Виноград свежий прочих сортов, не включенный в другие группировки"
01.22,01.2,Фрукты тропические и субтропические
01.22.1,01.22,Фрукты тропические и субтропические
01.22.11,01.22.1,Авокадо
01.22.11.000,01.22.11,Авокадо
01.22.12,01.22.1,Бананы
01.22.12.000,01.22.12,Бананы
01.22.13,01.22.1,Финики
01.22.13.000,01.22.13,Финики
01.22.14,01.22.1,Инжир
01.22.14.000,01.22.14,Инжир
01.22.19,01.22.1,Плоды тропических и субтропических культур прочие
01.22.19.000,01.22.19,Плоды тропических и субтропических культур прочие
01.23,01.2,Плоды цитрусовых культур
01.23.1,01.23,Плоды цитрусовых культур
01.23.11,01.23.1,Грейпфруты
01.23.11.000,01.23.11,Грейпфруты
01.23.12,01.23.1,Лимоны и лаймы
01.23.12.000,01.23.12,Лимоны и лаймы
01.23.13,01.23.1,Апельсины
01.23.13.000,01.23.13,Апельсины
01.23.14,01.23.1,"Мандарины, включая танжерины, клементины и аналогичные гибриды цитрусовых культур"
01.23.14.000,01.23.14,"Мандарины, включая танжерины, клементины и аналогичные гибриды цитрусовых культур"
01.23.19,01.23.1,Плоды цитрусовых культур прочие
01.23.19.000,01.23.19,Плоды цитрусовых культур прочие
01.24,01.2,Плоды семечковых и косточковых культур
01.24.1,01.24,Яблоки
01.24.10,01.24.1,Яблоки
01.24.10.000,01.24.10,Яблоки
01.24.2,01.24,Плоды семечковых и косточковых культур прочие
01.24.21,01.24.2,Груши
01.24.21.000,01.24.21,Груши
01.24.22,01.24.2,Айва
01.24.22.000,01.24.22,Айва
01.24.23,01.24.2,Абрикосы
01.24.23.000,01.24.23,Абрикосы
01.24.24,01.24.2,Вишня
01.24.24.000,01.24.24,Вишня
01.24.25,01.24.2,Персики
01.24.25.000,01.24.25,Персики
01.24.26,01.24.2,Нектарины
01.24.26.000,01.24.26,Нектарины
01.24.27,01.24.2,Сливы
01.24.27.000,01.24.27,Сливы
01.24.28,01.24.2,Терн
01.24.28.000,01.24.28,Терн
01.24.29,01.24.2,"Плоды семечковых и косточковых культур прочие, не включенные в другие группировки"
01.24.29.110,01.24.29,Черешня
01.24.29.120,01.24.29,"Алыча (ткемали, вишнеслива)"
01.24.29.130,01.24.29,Барбарис
01.24.29.140,01.24.29,Кизил
01.25,01.2,"Плоды прочих плодовых деревьев, кустарников и орехов"
01.25.1,01.25,Ягоды и плоды растений вида Vaccinium
01.25.11,01.25.1,Киви
01.25.11.000,01.25.11,Киви
01.25.12,01.25.1,Малина
01.25.12.000,01.25.12,Малина
01.25.13,01.25.1,Земляника (клубника)
01.25.13.000,01.25.13,Земляника (клубника)
01.25.19,01.25.1,"Ягоды, плоды растений вида Vaccinium прочие, не включенные в другие группировки"
01.25.19.110,01.25.19,Смородина черная
01.25.19.120,01.25.19,Смородина красная
01.25.19.130,01.25.19,Смородина белая
01.25.19.140,01.25.19,Крыжовник
01.25.19.150,01.25.19,Клюква
01.25.19.160,01.25.19,Брусника
01.25.19.170,01.25.19,Черника
01.25.19.180,01.25.19,Голубика
01.25.19.190,01.25.19,"Ягоды, плоды растений вида Vaccinium прочие, не включенные в другие группировки"
01.25.2,01.25,Семена плодовых культур
01.25.20,01.25.2,Семена плодовых культур
01.25.20.110,01.25.20,Семена плодовых семечковых культур
01.25.20.120,01.25.20,Семена плодовых косточковых культур
01.25.20.130,01.25.20,Семена ягодных культур
01.25.3,01.25,"Орехи, кроме лесных съедобных орехов, земляных орехов и кокосовых орехов"
01.25.31,01.25.3,Миндаль
01.25.31.000,01.25.31,Миндаль
01.25.32,01.25.3,Каштаны
01.25.32.000,01.25.32,Каштаны
01.25.33,01.25.3,Фундук
01.25.33.000,01.25.33,Фундук
01.25.34,01.25.3,Фисташки
01.25.34.000,01.25.34,Фисташки
01.25.35,01.25.3,Орехи грецкие
01.25.35.000,01.25.35,Орехи грецкие
01.25.39,01.25.3,"Орехи прочие, не включенные в другие группировки"
01.25.39.000,01.25.39,"Орехи прочие, не включенные в другие группировки"
