Наименование;Полное наименование;Форма собственности;ИНН;КПП;ОГРН;ОКПО;Форма (ЮЛ / ФЛ / ИП / Ин. Лицо);Юр. адрес;Резидент?;ДЗО?;СМП?;Форма АО;Тип МСП (МП / СП );OKTMO;Дата регистрации юр.лица/ИП;;
"ЗАО ""Высокие технологии""";"ЗАО ""Высокие технологии""";ЗАО;3664085590;366401001;;;ЮЛ;394055, г. Воронеж, ул. Летчика Злобина,  д.33;Да;Нет;;;;;;;
"ООО ""СПСР-ЭКСПРЕСС"" Филиал в г.Воронеж и Воронежской обл.";"Филиал ООО ""СПСР-ЭКСПРЕСС"" в г. Воронеже и Воронежской области";ООО;7715356456;366302001;;;ЮЛ;129090, г. Москва, Проспект Мира, д. 11, стр. 1;Да;Нет;;;;;;;
"ООО ""Омега""";"ООО ""Омега""";ООО;3662181636;366201001;;;ЮЛ;394026, г. Воронеж, Проспект труда, д.39;Да;Нет;;;;;;;
"ООО ""Самсон-опт""";"ООО ""Самсон-опт""";ООО;3666113066;366601001;;;ЮЛ;394000, г. Воронеж, ул. Комиссаржевской, д,1;Да;Нет;;;;;;;
"Воронежский филиал ОАО ""Военно-страховая компания""";"Воронежский филиал ОАО ""Военно-страховая компания""";ООО;7710026574;366402001;;;ЮЛ;г.Москва, ул. Островная д.4;Да;Нет;;;;;;;
"ООО ""Зевс-технологии""";"ООО ""Зевс-технологии""";ООО;4825047840;482501001;;;ЮЛ;398002, г. Липецк, ул. Балмочных, 15, офис 607;Да;Нет;;;;;;;
"ООО ""ИвВторТекстиль""  ";"ООО ""ИвВторТекстиль""";ООО;3702073478;370201001;;;ЮЛ;153006,г.Иваново,15 проезд,д.4,оф.307;Да;Нет;;;;;;;
"ООО ""Глобус-Офис""";"ООО ""Глобус-Офис""";ООО;3666087761;366601001;;;ЮЛ;г. Воронеж, ул. Плехановская, д.18;Да;Нет;;;;;;;
"ООО ""БЭСТ-Пресса-Воронеж""";"ООО ""БЭСТ-Пресса-Воронеж""";ООО;3666124621;366601001;;;ЮЛ;394000, г. Воронеж, ул. Арсенальная, д.3, оф. 119;Да;Нет;;;;;;;
"ООО ""Декста""";"ООО ""Декста""";ООО;3662127170;366201001;;;ЮЛ;394019 г.Воронеж ул.Солнечная,13;Да;Нет;;;;;;;
Комитет по приватизации и управлению муниципальным имуществом Семилукского района;Комитет по приватизации и управлению муниципальным имуществом Семилукского района;;3628000713;362801001;;;ЮЛ;Воронежская область г.Семилуки , ул.Ленина ,11;Да;Нет;;;;;;;
"ЧОУ ВУЦ ""Энергетик""";"ЧОУ ВУЦ ""Энергетик""";;3661027840;366101001;;;ЮЛ;394033 г.Воронеж Ленинский пр-кт д.156;Да;Нет;;;;;;;
"ООО ""Каргилл""";"ООО ""Каргилл""";ООО;7113502396;710150001;;;ЮЛ;301847, г. Ефремов Тульской обл., ул. Молодежная, д.10;Да;Нет;;;;;;;
"ОАО НИИ ""Ярсинтез""";"ОАО НИИ ""Ярсинтез""";ООО;7606000121;760601001;;;ЮЛ;1500040 г.Ярославль пр.Октября,88;Да;Нет;;;;;;;
