Наименование;Полное наименование;Форма собственности;ИНН;КПП;ОГРН;ОКПО;Форма (ЮЛ / ФЛ / ИП / Ин. Лицо);Юр. адрес;Резидент?;ДЗО?;СМП?;Форма АО;Тип МСП (МП / СП );OKTMO;Дата регистрации юр.лица/ИП;;
"ООО ""ТС-Инвест""";"ООО ""ТС-Инвест""";ООО;4825092105;482501001;;;ЮЛ;398007, Россия, Липецкая обл., г. Липецк, ул. Ковалева, ;Да;Нет;;;;;;;
"ООО ""ЛипецкСтройАльянс""";"ООО ""ЛипецкСтройАльянс""";ООО;4826089306;482601001;;;ЮЛ;398055, Россия, Липецкая обл., г. Липецк, ул. Московская,  дом № 83;Да;Нет;;;;;;;
"МП ""Водоканал""";"МП ""Водоканал""";;4605006372;460501001;;;ЮЛ;307500, Курская обл., г.Дмитриев, ул. Республиканская, д.7;Да;Нет;;;;;;;
"ООО ""ОВЦ""";"ООО ""ОВЦ""";ООО;4825072282;482501001;;;ЮЛ;г.Липецк;Да;Нет;;;;;;;
"ООО ПКФ ""Лидия-1""";"ООО ПКФ ""Лидия-1""";ООО;3664041761;366401001;;;ЮЛ;ул. 20 лет Октября, д. 55, г. Воронеж, 394006;Да;Нет;;;;;;;
"Федеральное бюджетное учреждение ""Всероссийский научно-исследовательский институт  документирования и архивного дела"" (ВНИИДАД)";"Федеральное бюджетное учреждение ""Всероссийский научно-исследовательский институт  документирования и архивного дела"" (ВНИИДАД)";;7708033140;772801001;;;ЮЛ;;Да;Нет;;;;;;;
"ООО ""ЭнергоАудит""";"ООО ""ЭнергоАудит""";ООО;7705980249;770501001;;;ЮЛ;109462, Россия, г. Москва, пр-кт Волгоградский,  дом № 47;Да;Нет;;;;;;;
"ООО ""Центр медицинских осмотров и профилактики""";"ООО ""Центр медицинских осмотров и профилактики""";ООО;4632164240;463201001;;;ЮЛ;305004,Курск,ул. Челюскинцев,14;Да;Нет;;;;;;;
"ООО ""ТЕРМИКА-ПЛЮС""";"ООО ""ТЕРМИКА-ПЛЮС""";ООО;7716180477;771601001;;;ЮЛ;129344, Россия, г. Москва, ул. Верхоянская,  дом № 18, корп. 2;Да;Нет;;;;;;;
"ООО ""ПодигеоН""";"ООО ""ПодигеоН""";ООО;4821023703;482101001;;;ЮЛ;г.Елец, пос. Известкового завода 9 б;Да;Нет;;;;;;;
"ООО ""Торговый дом ""Региональный оптовый склад огнеупор""";"ООО ""Торговый дом ""Региональный оптовый склад огнеупор""";ООО;7104522928;710701001;;;ЮЛ;3000034, Тула, ул. Демонстрации, д. 149;Да;Нет;;;;;;;
"ООО Компания ""СВМ""";"ООО Компания ""СВМ""";ООО;5249130053;524901001;;;ЮЛ;606023, г.Дзержинск, Нижегородская область, бульвар Мира, 5-37;Да;Нет;;;;;;;
"Тамбовский филиал ООО ГК ""Надежда-Фарм""";"Тамбовский филиал ООО ГК ""Надежда-Фарм""";ООО;7728658430;682943001;;;ЮЛ;121352, г.Моска, Славянский бульвар, д.9,корп.1;Да;Нет;;;;;;;
"Общество с ограниченной ответственностью ""Сопровождение""";"Общество с ограниченной ответственностью ""Сопровождение""";ООО;4823058420;482301001;;;ЮЛ;398005, г.Липецк, ул.Ферросплавная,владение №26, офис 5;Да;Нет;;;;;;;
"ООО ""Ремонтно-механический цех""";"ООО ""Ремонтно-механический цех""";ООО;3303010684;330301001;;;ЮЛ;601443, Владимирская обл., Вязниковский р-он, г.Вязники, ул.Ленина, д,35, пом.6;Да;Нет;;;;;;;
"ООО ""ПромИнвест""";"ООО ""ПромИнвест""";ООО;3666181122;366601001;;;ЮЛ;ул. Республиканская, д. 5 оф. 33/1, г. Воронеж, 394024;Да;Нет;;;;;;;
"ООО ""Компенз - Вибро""";"ООО ""Компенз - Вибро""";ООО;5321156136;532101001;;;ЮЛ;173008, Новгородская обл., г. Великий Новгород, ул. Рабочая,д.51;Да;Нет;;;;;;;
"ООО ""Мастер-Сервис""";ООО «Мастер-Сервис»;ООО;4825090612;482501001;;;ЮЛ;398037, г. Липецк, Трубный пр., 10;Да;Нет;;;;;;;
"ООО ""Русс Трест""";"ООО ""Русс Трест""";ООО;6829073153;682901001;;;ЮЛ;392000, г.Тамбов, ул.Советская, д.191;Да;Нет;;;;;;;
"ООО ""ВИОК""";"Общество с ограниченной ответственностью ""ВИОК""";ООО;4630015885;463201001;;;ЮЛ;305023, Г КУРСК, УЛ ЛИТОВСКАЯ, 95 А/6;Да;Нет;;;;;;;
"ООО ""Хорс""";"ООО ""Хорс""";ООО;4825059203;482501001;;;ЮЛ;398042, Россия, Липецкая обл., г. Липецк, Универсальный проезд,  дом № 14;Да;Нет;;;;;;;
"ООО ""Росконтракт""";"ООО ""Росконтракт""";ООО;7116128595;711601001;;;ЮЛ;301654, Тульская область, г. Новомосковск, Комсомольское шоссе, д. 6;Да;Нет;;;;;;;
"ООО ""Газпром теплоэнерго Орел""";"ООО ""Газпром теплоэнерго Орел""";ООО;5720997878;575201001;;;ЮЛ;320520, Орловская обл., Орловский р-н,п. Дружный, ул.Машиностроительная, д. 23;Да;Нет;;;;;;;
"Смоленское областное государственное автономное учреждение дополнительного профессионального образования ""Автокадры""";"Смоленское областное государственное автономное учреждение дополнительного профессионального образования ""Автокадры""";;6730028828;673001001;;;ЮЛ;214004.г.Смоленск.Неверовского ул.дом 5;Да;Нет;;;;;;;
"ООО ""Армега-Лип""";"ООО ""Армега-Лип""";ООО;4825092458;482501001;;;ЮЛ;398042, Россия, Липецкая обл., г. Липецк, Универсальный проезд,  дом № 14;Да;Нет;;;;;;;
"ООО ""ОФИС-ГИД""";ООО «ОФИС-ГИД»;ООО;7718945065;771801001;;;ЮЛ;107150, г. Москва, ул. Бойцовая, д.27, стр. 4;Да;Нет;;;;;;;
"ООО ""Тех-Авто""";"ООО ""Тех-Авто""";ООО;7716712234;771601001;;;ЮЛ;115054, г.  Москва, ул. Коминтерна, дом 3, к. 2;Да;Нет;;;;;;;
"ООО ""Спецтехномаш""";"ООО ""Спецтехномаш""";ООО;6439062780;643901001;;;ЮЛ;413864, Саратовская обл., г. Балаково, ул. 30 лет Победы,35-17;Да;Нет;;;;;;;
"Филиал ""Газпромбанк"" (Открытое акционерное общество) в г. Воронеже";"Филиал ""Газпромбанк"" (Открытое акционерное общество) в г. Воронеже";ОАО;7744001497;366443001;;;ЮЛ;117420, Москва г, Наметкина ул, дом № 16, корпус 1;Да;Нет;;;;;;;
"АО ""Лебединский ГОК""";"АО ""Лебединский ГОК""";АО;3127000014;997550001;;;ЮЛ;Россия, Белгородская область, г.Губкин;Да;Нет;;;;;;;
"ОГАПОУ  ""Ютановский агромеханический техникум""";"ОГАПОУ  ""Ютановский агромеханический техникум""";АНО;3106001930;310601001;;;ЮЛ;309670, Россия, Белгородская обл., Волоконовский р-н, с. Ютановка;Да;Нет;;;;;;;
"Общество с ограниченной ответственностью Научно-технический центр ""Инженер""";"Общество с ограниченной ответственностью Научно-технический центр ""Инженер""";ООО;4826009910;482601001;;;ЮЛ;398059, Липецкая обл, Липецк г, Октябрьская ул, дом № 73;Да;Нет;;;;;;;
"ООО ""МирАвто""";"ООО ""МирАвто""";ООО;3126018516;312601001;;;ЮЛ;309996, Россия, Белгородская обл., Валуйский р-н, г. Валуйки, ул. Ст.Разина,  дом № 9;Да;Нет;;;;;;;
"ООО ""Юридическое бюро ""Системная поддержка бизнеса""";"ООО ""Юридическое бюро ""Системная поддержка бизнеса""";ООО;7705822242;772501001;;;ЮЛ;115054, г. Москва, ул. Дубининская, 57,стр.6;Да;Нет;;;;;;;
"Общество с ограниченной ответственностью ""ЕвроФинанс"" (ООО ""ЕвроФинанс"")";"Общество с ограниченной ответственностью ""ЕвроФинанс"" (ООО ""ЕвроФинанс"")";ООО;7105035853;710701001;;;ЮЛ;300026, Тула,проспект Ленина, д.127;Да;Нет;;;;;;;
"АНО ""Институт исследования технологий""";"АНО ""Институт исследования технологий""";АНО;1831083664;183101001;;;ЮЛ;426011, г. Ижевск, ул. 10 лет Октября, д. 53;Да;Нет;;;;;;;
"ООО ""ПС""";"ООО ""ПС""";ООО;5445112861;544501001;;;ЮЛ;ул. Карла Маркса, дом 21, офис 126, г. Бердск, Новосибиская область, РФ, 633010;Да;Нет;;;;;;;
"ООО ""Сова""";"ООО ""Сова""";ООО;4824056633;482501001;;;ЮЛ;398050, г. Липецк, ул. Желябова, д.2 оф.317;Да;Нет;;;;;;;
"Федеральное бюджетное учреждение ""Центр лабораторного анализа и технических измерений по Центральному федеральному округу""";"Федеральное бюджетное учреждение ""Центр лабораторного анализа и технических измерений по Центральному федеральному округу""";;5042060410;673002001;;;ЮЛ;125009, г. Москва, Газетный пер, д.3-5, стр.1;Да;Нет;;;;;;;
"МУП ""Зеленхоз"" г. Липецка";"МУП ""Зеленхоз"" г. Липецка";МУП;4822000794;482501001;;;ЮЛ;398055, Липецкая обл, Липецк г, Московская ул, дом № 2;Да;Нет;;;;;;;
"Закрытое акционерное общество ""Фарм""";"Закрытое акционерное общество ""Фарм""";ЗАО;7701019588;673105001;;;ЮЛ;117545 г.Москва,1ый Дорожный проезд, дом 6, строен. 3;Да;Нет;;;;;;;
"ООО ""Тактика""";"ООО ""Тактика""";ООО;3662210534;366201001;;;ЮЛ;394026, г. Воронеж, ул. Солнечная, 31, оф. 1;Да;Нет;;;;;;;
"Общество с ограниченной ответственностью ""Смоленский завод  ЖБИ-2""";"Общество с ограниченной ответственностью ""Смоленский завод  ЖБИ-2""";ООО;6731046890;673101001;;;ЮЛ;214031 г. Смоленск  ул. Индустриальная  , д.9;Да;Нет;;;;;;;
"КМИЦ ""НТ""ФГБОУ ВПО ""КНИТУ""";"КМИЦ ""НТ""ФГБОУ ВПО ""КНИТУ""";;1655018804;162202008;;;ЮЛ;420015, г. Казань, ул. К.Маркса, 68;Да;Нет;;;;;;;
"ООО Группа Компаний ""Дакор""";"ООО Группа Компаний ""Дакор""";ООО;3662189314;366201001;;;ЮЛ;394049, Россия, Воронежская обл., г. Воронеж, ул. Лидии Рябцевой,  дом № 42, оф.37;Да;Нет;;;;;;;
"ООО ""БалтТеплоСтрой""";"ООО ""БалтТеплоСтрой""";ООО;7802272996;780201001;;;ЮЛ;194017, Россия, г. Санкт-Петербург, пр-кт Скобелевский,  дом № 16, литера А, пом. 9Н;Да;Нет;;;;;;;
"ООО ""Группа - ОСТ""";"ООО ""Группа - ОСТ""";ООО;3123077136;312301001;;;ЮЛ;308025 РФ г.Белгород пер. 2-й Декабристов,10а;Да;Нет;;;;;;;
"Смоленское областное государственное бюджетное учреждение ""Управление областных автомобильных дорог""";"Смоленское областное государственное бюджетное учреждение ""Управление областных автомобильных дорог""";;6731020765;673001001;;;ЮЛ;214000, Смоленская область, г. Смоленск, ул. Октябрьской Революции, дом 14 А;Да;Нет;;;;;;;
"ООО МЭУ ""Русьлифт""";"ООО МЭУ ""Русьлифт""";ООО;6730051062;673001001;;;ЮЛ;214004, г. Смоленск, ул. Пригородная, д. 10;Да;Нет;;;;;;;
ООО ЛУК;ООО ЛУК;ООО;4811024433;481101001;;;ЮЛ;ул. Крупской,  д. 2А, г. Лебедянь, Липецкая область, 399610;Да;Нет;;;;;;;
Администрация города Смоленска;Администрация города Смоленска;;6730012070;673001001;;;ЮЛ;214000 г. Смоленск  ул. Октябрьской революции, д.1/2;Да;Нет;;;;;;;
"ООО ""Навгеоком Инжиниринг""";"ООО ""Навгеоком Инжиниринг""";ООО;7717628095;771701001;;;ЮЛ;129626, г. Москва, ул. Павла Корчагина, д.2;Да;Нет;;;;;;;
"ООО ""Волга ЭСТО""";"ООО ""Волга ЭСТО""";ООО;6311108304;631201001;;;ЮЛ;443035, г. Самара, пр-т Кирова, д. 130, офис 1;Да;Нет;;;;;;;
"ООО ""Энергосталь""";"ООО ""Энергосталь""";ООО;6154079587;615401001;;;ЮЛ;;Да;Нет;;;;;;;
"АО ""НПЦ газотурбостроения ""Салют""";"АО ""НПЦ газотурбостроения ""Салют""";АО;7719409437;771901001;;;ЮЛ;105118, Россия, г. Москва, пр-кт Буденного,  дом № 16, корп. 2;Да;Нет;;;;;;;
"Усманский филиал ОГУП ""Липецкдоравтоцентр""";"Усманский филиал ОГУП ""Липецкдоравтоцентр""";;4825035530;480743001;;;ЮЛ;399344, Россия, Липецкая обл., Усманский р-н, с. Стрелецкие Хутора, ул. Железнодорожная,  дом № 88;Да;Нет;;;;;;;
"ООО ""Эль-Гуна""";"ООО ""Эль-Гуна""";ООО;4027073003;402701001;;;ЮЛ;г. Калуга, ул. Вилонова, д. 5;Да;Нет;;;;;;;
"ООО ""Кента""";"ООО ""Кента""";ООО;6230026565;622901001;;;ЮЛ;г. Рязань, пер. Шабулина, д. 8а;Да;Нет;;;;;;;
"ООО ""Оксин Джей Эс""";"ООО ""Оксин Джей Эс""";ООО;7710753428;772201001;;;ЮЛ;111020, г.Москва, ул.Сторожевая, д.4, стр.8.;Да;Нет;;;;;;;
"ООО ""ПКФ ""Холдинг Тяжпром""";"ООО ""ПКФ ""Холдинг Тяжпром""";ООО;3665099517;366501001;;;ЮЛ;394055, Россия, Воронежская обл., г. Воронеж, ул. Депутатская,  дом № 11, оф. 6;Да;Нет;;;;;;;
"ООО ""Стальполимерсервис""";"ООО ""Стальполимерсервис""";ООО;3663101697;366301001;;;ЮЛ;394007, Россия, Воронежская обл., г. Воронеж, ул. Ленинградская,  дом № 2, оф. 511;Да;Нет;;;;;;;
"АО ""ЭЛВИС-ПЛЮС""";АО «ЭЛВИС-ПЛЮС»;АО;7735003794;773501001;;;ЮЛ;124498, Москва, Зеленоград, проезд 4806, д. 5, стр. 23;Да;Нет;;;;;;;
"Общество с ограниченной ответственностью Нефтеторговая компания ""Высокое""";"Общество с ограниченной ответственностью Нефтеторговая компания ""Высокое""";ООО;7111009587;711101001;;;ЮЛ;301367, Россия, Тульская обл., Алексинский р-н, г. Алексин, ш. Генерала Короткова,  дом № 6;Да;Нет;;;;;;;
"ООО ""Гастроном""";"ООО ""Гастроном""";ООО;7111019970;711101001;;;ЮЛ;301371, Тульская область, г. Алексин, ул. Пионерская, д. 19, корп. а;Да;Нет;;;;;;;
"Акционерное общество ""Первая Грузовая Компания"" (АО ""ПГК"")";"Акционерное общество ""Первая Грузовая Компания"" (АО ""ПГК"")";АО;7725806898;366643001;;;ЮЛ;105064,Россия, г.Москва, ул.Старая Басманная, д.12, стр.1.;Да;Нет;;;;;;;
"ООО ТД ""ЭнергоРемСервис""";"ООО ТД ""ЭнергоРемСервис""";ООО;3662992948;366201001;;;ЮЛ;394026, г. Воронеж, ул. Текстильщиков, дом  2А, офис 308;Да;Нет;;;;;;;
"ООО ""Электроинструмент""";"ООО ""Электроинструмент""";ООО;3123283932;312301001;;;ЮЛ;308006, Россия, Белгородская обл., г. Белгород, ул. Серафимовича,  дом № 59;Да;Нет;;;;;;;
"ООО ""РусТрейд""";"ООО ""РусТрейд""";ООО;3123373914;312301001;;;ЮЛ;308017, Белгородская обл., г. Белгород, Михайловское шоссе д. 23, офис 14;Да;Нет;;;;;;;
"ООО ТД ""ЭлектроМашПоставка""";"ООО ТД ""ЭлектроМашПоставка""";ООО;7724753428;772801001;;;ЮЛ;117426, Россия, г. Москва, ЮЗАО, ул. Обручева,  дом № 55А;Да;Нет;;;;;;;
"ООО ""ИВСНАБ""";"ООО ""ИВСНАБ""";ООО;3702706466;370201001;;;ЮЛ;153002, Россия, Ивановская обл., г. Иваново, ул. Громобоя,  дом № 13, оф.501;Да;Нет;;;;;;;
"ООО ""Белраствор.Ру""";"ООО ""Белраствор.Ру""";ООО;3123359910;312301001;;;ЮЛ;308000, РФ, г. Белгород, пер. 5-й Заводской, д.3, оф.1;Да;Нет;;;;;;;
"ООО ""Елецгазстрой""";"ООО ""Елецгазстрой""";ООО;4821047260;482101001;;;ЮЛ;399778, Россия, Липецкая обл., г. Елец, ш. Московское,  дом № 26;Да;Нет;;;;;;;
"ООО ""ХЦЭС""";"ООО ""ХЦЭС""";ООО;2725909774;272501001;;;ЮЛ;680033, Россия, Хабаровский край, г. Хабаровск, ул. Тихоокеанская,  дом № 221-А;Да;Нет;;;;;;;
"ООО ""ОТЭН""";ООО «ОТЭН»;ООО;6731078902;673101001;;;ЮЛ;214020, г. Смоленск, ул. Шевченко, д.83;Да;Нет;;;;;;;
"ООО ""ТЕПЛОГАРАНТ""";"ООО ""ТЕПЛОГАРАНТ""";ООО;4826089754;482601001;;;ЮЛ;398501, Россия, Липецкая обл., г. Липецк, ул. Максима Горького,  дом № 19, офис 9;Да;Нет;;;;;;;
"Общество с ограниченной ответственностью ""Подшипниковый терминал""";"Общество с ограниченной ответственностью ""Подшипниковый терминал""";ООО;2466077098;246201001;;;ЮЛ;660031, Краснодарский край, г.Красноярск, ул.Глинки, 17, пом.13;Да;Нет;;;;;;;
"ООО ""Дилижанс""";"ООО ""Дилижанс""";ООО;6230076044;623001001;;;ЮЛ;390048, Россия, Рязанская обл., г. Рязань, ул. Большая,  дом № 104, кв. Н 3;Да;Нет;;;;;;;
"ООО ""Стройальянс""";"ООО ""Стройальянс""";ООО;6230053505;623001001;;;ЮЛ;390011, Россия, Рязанская обл., г. Рязань, ш. Куйбышевское,  дом № 29;Да;Нет;;;;;;;
"ООО ""ЭкспертКонтроль""";"ООО ""ЭкспертКонтроль""";ООО;7710867190;773401001;;;ЮЛ;123060, г. Москва, 1-й Волоколамский проезд, д. 10, стр. 5;Да;Нет;;;;;;;
"ОАО ""Мобильные ТелеСистемы""";ОАО «Мобильные ТелеСистемы»;ООО;7740000076;770901001;;;ЮЛ;109147, Москва, Марксистская ул., д. 4;Да;Нет;;;;;;;
"ООО ""Крипто""";"ООО ""Крипто""";ООО;5261085375;526101001;;;ЮЛ;603141, Россия, Нижегородская обл., г. Нижний Новгород, ул. Ларина,  дом № 10, оф. 311;Да;Нет;;;;;;;
"ООО ""Краски Санкт-Петербурга""";"ООО ""Краски Санкт-Петербурга""";ООО;7806529018;780601001;;;ЮЛ;195248, г.Санкт-Петербург, пр.Ириновский, д.1, литер,пом.1-Н;Да;Нет;;;;;;;
"ООО ""Софтлайн Проекты""";ООО «Софтлайн Проекты»;ООО;7728734000;772501001;;;ЮЛ;115114 РФ, г. Москва, ул. Дербеневская набережная, д. 7, стр. 9;Да;Нет;;;;;;;
"ООО ""Юг Пена""";"ООО ""Юг Пена""";ООО;6150066001;615001001;;;ЮЛ;Ростовская область, г.Новочеркасск, ул.Фрунзе,67;Да;Нет;;;;;;;
"ООО ""СК НАРОДНЫЙ ПРОЕКТ""";"ООО ""СК НАРОДНЫЙ ПРОЕКТ""";ООО;2311169155;231101001;;;ЮЛ;350087, Россия, Краснодарский край, г. Краснодар, пер. Осторожный,  дом № 1/2;Да;Нет;;;;;;;
"ООО ""СБиС ЭО""";"ООО ""СБиС ЭО""";ООО;4027109852;575345001;;;ЮЛ;Россия, Орловская обл., Орловский р-н, г. Орел, ул. Октябрьская,  дом № 35;Да;Нет;;;;;;;
"ООО ""Бетон-ЮГ""";"ООО ""Бетон-ЮГ""";ООО;6155067584;615501001;;;ЮЛ;"346530, г. Шахты, Ростовская область, переулок Путиловский, 1 ""литер"" А";Да;Нет;;;;;;;
"ООО ""Радиус-НТ""";"ООО ""Радиус-НТ""";ООО;4826084756;482601001;;;ЮЛ;398001, Россия, Липецкая обл., г. Липецк, ул. Л.Толстого,  дом № 1;Да;Нет;;;;;;;
"ООО ""Эксергия""";"ООО ""Эксергия""";ООО;4825101575;482501001;;;ЮЛ;398020, г.Липецк, ул.Клары Цеткин, д.1;Да;Нет;;;;;;;
"ООО ""ФЕНЕКС МЕДИА ГРУПП""";"ООО ""ФЕНЕКС МЕДИА ГРУПП""";ООО;7730664889;773001001;;;ЮЛ;121601,Москва г.,Филевский бульвар.,д.39;Да;Нет;;;;;;;
"ООО ""Экохиммаш Черноземье""";"ООО ""Экохиммаш Черноземье""";ООО;4825070454;482501001;;;ЮЛ;398037, Россия, Липецкая обл., г. Липецк, Боевой проезд,  дом № 23/1;Да;Нет;;;;;;;
"ООО ""Интерфакс - ЦРКИ""";"ООО ""Интерфакс - ЦРКИ""";ООО;9710006645;771001001;;;ЮЛ;Россия, 127006, Москва, 1-я Тверская-Ямская ул., д.2 стр.1;Да;Нет;;;;;;;
"ООО Группа компаний ""Афинара-ПТ""";"ООО Группа компаний ""Афинара-ПТ""";ООО;7715914647;771501001;;;ЮЛ;127322, г. Москва,проезд Огородный, д. 20, строение 27;Да;Нет;;;;;;;
"ООО ""Энергогрупп""";"ООО ""Энергогрупп""";ООО;7733800314;773301001;;;ЮЛ;проезд Волоколамский, д. 4, корп.2, помещение IX комната 2, РФ, г. Москва, 119034;Да;Нет;;;;;;;
"ООО ""НД Групп""";"ООО ""НД Групп""";ООО;6324036390;632101001;;;ЮЛ;ул. Коммунальная, д.39, РФ, Самарская обл., г. Тольятти, 445043;Да;Нет;;;;;;;
"ООО ""Оптима""";"ООО ""Оптима""";ООО;6732068985;673201001;;;ЮЛ;214019, Россия, Смоленская обл., г. Смоленск, Маршала Конева проезд,  дом № 28Е;Да;Нет;;;;;;;
"ООО ""Спецжелезобетонстрой""";"ООО ""Спецжелезобетонстрой""";ООО;3128089664;312801001;;;ЮЛ;Белгородская обл.,г.Старый Оскол, м-н Олимпийский, д.62;Да;Нет;;;;;;;
"МУП ""Ливенские тепловые сети""";"МУП ""Ливенские тепловые сети""";МУП;5702012944;570201001;;;ЮЛ;303852, Орловская область, г. Ливны, пер. Железнодорожный, дом 10 А;Да;Нет;;;;;;;
"ООО ""Апрель""";"ООО ""Апрель""";ООО;3123302208;312301001;;;ЮЛ;308019, г. Белгород, ул. Магистральная, 55а;Да;Нет;;;;;;;
"ООО ""ИНТЕХ""";ООО «ИНТЕХ»;ООО;4611010786;461101001;;;ЮЛ;305516, Курская область, Курский р-н, п. Касиновский;Да;Нет;;;;;;;
"ООО ""Союз Полиграфистов""";"ООО ""Союз Полиграфистов""";ООО;6234091646;623401001;;;ЮЛ;390000, г. Рязань, ул. Сенная, д.8 (помещение Н2), каб. 22;Да;Нет;;;;;;;
"ООО ""РТП ""Техноком""";"ООО ""РТП ""Техноком""";ООО;4823033489;482301001;;;ЮЛ;398017, Россия, Липецкая обл., г. Липецк, ул. Суворова,  дом № 15;Да;Нет;;;;;;;
"ООО ""АРМ-Строй""";"ООО ""АРМ-Строй""";ООО;6732069555;673201001;;;ЮЛ;214018, г. Смоленск, пр.Гагарина, д. 13/2, кв.19.;Да;Нет;;;;;;;
"ООО ""ДИАЛВЕСТ""";"ООО ""ДИАЛВЕСТ""";ООО;7703740530;770301001;;;ЮЛ;123022, Россия, г. Москва, ул. Рочдельская,  дом № 14 А, пом. 7;Да;Нет;;;;;;;
"ООО ""Подшипник.ру Центр""";"ООО ""Подшипник.ру Центр""";ООО;7733655297;773301001;;;ЮЛ;Тульская обл., г.Тула, ул. Первомайская. д.35;Да;Нет;;;;;;;
"ООО ""Сидеро-Трейд""";"ООО ""Сидеро-Трейд""";ООО;7731290280;773101001;;;ЮЛ;121059, г. Москва, ул. Киевская, д. 14, стр.22;Да;Нет;;;;;;;
"ООО ""СлавСтрой""";"ООО ""СлавСтрой""";ООО;3662173191;366201001;;;ЮЛ;394016, г. Воронеж, Московский пр-т, д. 53, оф. 407;Да;Нет;;;;;;;
"ООО ""ХИМЕРА""";"ООО ""ХИМЕРА""";ООО;5249111195;524901001;;;ЮЛ;606029, Дзержинск, Нижегородская область, ул. Петрищева 9, кв.20;Да;Нет;;;;;;;
"ООО ""ТД Лесдорпром""";"ООО ""ТД Лесдорпром""";ООО;7723900711;772301001;;;ЮЛ;109387, г. Москва, ул. Люблинская, дом 113 А;Да;Нет;;;;;;;
"ООО ""Электротекс-ИН""";"ООО ""Электротекс-ИН""";ООО;5753061178;575301001;;;ЮЛ;302040, г.Орел, ул.Лескова, д.19;Да;Нет;;;;;;;
Адвокат Слоновский Юрий Владимирович;Адвокат Слоновский Юрий Владимирович;;7719115300;771002005;;;ЮЛ;125009, г. Москва, ул. Садовая-Триумфальная, д. 2/30;Да;Нет;;;;;;;
"ООО ""Ника Строй""";ООО «Ника Строй»;ООО;6234032217;623401001;;;ЮЛ;390029, Россия, Рязанская обл., г. Рязань, ул. Чкалова,  дом № 68, кв. 204;Да;Нет;;;;;;;
"ООО ""БухСофтТрейдинг""";"ООО ""БухСофтТрейдинг""";ООО;7107524440;710701001;;;ЮЛ;300012, Россия, Тульская обл., г. Тула, ул. Рязанская,  дом № 38;Да;Нет;;;;;;;
"Общество с ограниченной ответственностью ""Химнефть Полимер""";"Общество с ограниченной ответственностью ""Химнефть Полимер""";ООО;3801130712;380101001;;;ЮЛ;665832, Иркутская обл., Ангарск, 96-й кв-л, дом №9, оф.14;Да;Нет;;;;;;;
"АО ""Газовик-ЭНЕРГО""";"АО ""Газовик-ЭНЕРГО""";АО;7743926002;772601001;;;ЮЛ;115191, Россия, г. Москва, пер. Духовской,  дом № 17, корп. 15, кв. 11;Да;Нет;;;;;;;
ТПП Краснодарского края;Союз «Торгово-промышленная палата Краснодарского края»;;2309025036;230901001;;;ЮЛ;Российская Федерация,350063,Краснодарский край,г.Краснодар,Центральный административный округ,ул.Коммунаров,8;Да;Нет;;;;;;;
"ООО ""МАЙНА-ВИРА""";"ООО ""МАЙНА-ВИРА""";ООО;7719410601;771901001;;;ЮЛ;105264, г.Москва, ул.Верхняя Первомайская, д.47, корп.11;Да;Нет;;;;;;;
"ООО ""Тульские Новости""";"ООО ""Тульские Новости""";ООО;7104068373;710401001;;;ЮЛ;300026, Тула, пр. Ленина, д. 112 Б;Да;Нет;;;;;;;
"АО ""ТД ""СамараСнабПодшипник""";"АО ""ТД ""СамараСнабПодшипник""";АО;6312068238;631201001;;;ЮЛ;443035, Россия, Самарская обл., г. Самара, ул. Мирная,  дом № 162, оф. 314А;Да;Нет;;;;;;;
"ЗАО ""Рязанский Промышленоо - Экологический комплекс""";"ЗАО ""Рязанский Промышленоо - Экологический комплекс""";ЗАО;6230075266;623001001;;;ЮЛ;390011, Рязанская область, г. Рязань, Куйбышевское шоссе, д. 21;Да;Нет;;;;;;;
"ХК Энергостоксервисстрой"" ООО";"ХК Энергостоксервисстрой"" ООО";ООО;7705408970;774501001;;;ЮЛ;117403, Россия, г. Москва, Востряковский проезд,  дом № 10Б, корп. 3;Да;Нет;;;;;;;
"ООО ""АРКсеть""";"ООО ""АРКсеть""";ООО;5720019237;572001001;;;ЮЛ;;Да;Нет;;;;;;;
"ЗАО ""Унихимтек""";"ЗАО ""Унихимтек""";ЗАО;7729008628;502101001;;;ЮЛ;142181, Россия, Московская обл., г. Климовск, ул. Заводская,  дом № 2;Да;Нет;;;;;;;
"ООО ""Альфа - S""";"ООО ""Альфа - S""";ООО;6234007242;623401001;;;ЮЛ;ул. Островского, д. 21/1, офис 310, г. Рязань,390035;Да;Нет;;;;;;;
"ООО ИЦ ""Подъемная Техника""";ООО ИЦ «Подъемная Техника»;ООО;7717612730;771701001;;;ЮЛ;129515, г.Москва, Звездный бульвар, д.14;Да;Нет;;;;;;;
"ООО ""ПУЛЬСАР-ПРОФ""";"ООО ""ПУЛЬСАР-ПРОФ""";ООО;5751056430;575101001;;;ЮЛ;302011, г. Орел, Новосильское шоссе, д. 21;Да;Нет;;;;;;;
"Акционерное общество ""Добринская жилищно-управляющая компания""";"Акционерное общество ""Добринская жилищно-управляющая компания""";;4804005817;480401001;;;ЮЛ;399410, Россия, Липецкая обл., Добринский р-н, п. Добринка, ул. Корнева,  дом № 4;Да;Нет;;;;;;;
"ООО ""ЭнТехно""";"ООО ""ЭнТехно""";ООО;7719783522;771901001;;;ЮЛ;107023, Россия, г. Москва, пер. Мажоров,  дом № 14, стр. 1;Да;Нет;;;;;;;
